ID,Study,Year_publication,Month_publication,Country,WHO,Study Design,Vaccine,Previous_Infection,Severe_Definition,Severe_Disease_Def,Hospitalization,type,Journal,Dosage,efficacy_or_effectiveness,RCT_or_Non-RCT,Time_day,Month,Estimate_any_sars_cov_2a,LCI_any_sars_cov_2a,UCI_any_sars_cov_2a,Estimate_any_sars_cov_2,LCI_any_sars_cov_2,UCI_any_sars_cov_2,65infect,LCL_65infect,uCL_65infect,lessthan65infect,lcllessthan65infect,ucllessthan65infect,lessthan65severecritormort,LCL_lessthan65severecritormort,uCL_lessthan65severecritormort,65severecritormort,LCL_65severecritormort,uCL_65severecritormort,Estimate_asymptomatic,LCI_asymptomatic,UCI_asymptomatic,Estimate_symptomatic,LCI_symptomatic,UCI_symptomatic,Est_severea,lcl_severea,UCL_severea,Est_severe,lcl_severe,UCL_severe,Estimate_critical,LCI_critical,UCI_critical,est_fatal,LCL_fatal,ucl_fatal,vaccine dosages,Tmax_m,N_vaccinated,N_placebo,Total,Perc_vax,Male_perc,White,Black,Median_age_vaccination,Obese
11,Tartof et al. 2021,2021,Oct,US,North America,Retrospective Cohort Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,Lancet,30ug doses ,effectiveness,Non-RCT,7,1,,,,73,72,74,,,,,,,,,,,,,,,,,,,,,,90,89,92,,,,,,,2,6,1043289,2290189,3333478,31.3,48,32,8,45,19
12,Tartof et al. 2021,2021,Oct,US,North America,Retrospective Cohort Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,Lancet,30ug doses ,effectiveness,Non-RCT,21.5,1,,,,88,86,89,80,73,85,88,85.5,90.5,89.5,78.5,95,84,74,90,,,,,,,,,,87,82,91,,,,,,,2,6,1043289,2290189,3333478,31.3,48,32,8,45,19
13,Tartof et al. 2021,2021,Oct,US,North America,Retrospective Cohort Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,Lancet,30ug doses ,effectiveness,Non-RCT,51.5,2,84,83,86,84,83,86,79,70,85,84.5,81,87,88.5,77.5,94,88,78,93,,,,,,,88,83,92,88,83,92,,,,,,,2,6,1043289,2290189,3333478,31.3,48,32,8,45,19
14,Tartof et al. 2021,2021,Oct,US,North America,Retrospective Cohort Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,Lancet,30ug doses ,effectiveness,Non-RCT,81.5,3,78,76,79,78,76,79,75,65,83,78,74.5,80.5,94.5,86.5,97,89,78,94,,,,,,,92,89,95,92,89,95,,,,,,,2,6,1043289,2290189,3333478,31.3,48,32,8,45,19
15,Tartof et al. 2021,2021,Oct,US,North America,Retrospective Cohort Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,Lancet,30ug doses ,effectiveness,Non-RCT,111.5,4,68,65,70,68,65,70,56,45,65,67.5,64,70.5,94,86.5,97.5,93,89,95,,,,,,,93,89,95,93,89,95,,,,,,,2,6,1043289,2290189,3333478,31.3,48,32,8,45,19
16,Tartof et al. 2021,2021,Oct,US,North America,Retrospective Cohort Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,Lancet,30ug doses ,effectiveness,Non-RCT,141.5,5,55,50.5,60,61,58,64,49,41,57,59,53,64,91.5,75.5,96.5,91,87,93,,,,,,,89.5,70.44,108.56,91,87,93,,,,,,,2,6,1043289,2290189,3333478,31.3,48,32,8,45,19
17,Tartof et al. 2021,2021,Oct,US,North America,Retrospective Cohort Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,Lancet,30ug doses ,effectiveness,Non-RCT,156.5,5,,,,47,43,51,43,30,54,44.5,37.5,51,90,72,96.5,83,69,90,,,,,,,,,,88,82,92,,,,,,,2,6,1043289,2290189,3333478,31.3,48,32,8,45,19
18,Ali et al. 2021,2021,August,US,North America,Randomized Control Trial,mRNA-1273,Tested,,,,mRNA,NEJM,100ug doses,efficacy,RCT,14,1,55.7,16.8,76.4,55.7,16.8,76.4,,,,,,,,,,,,,39.2,-24.7,69.7,93.3,47.9,99.9,,,,,,,,,,,,,2,4,2486,1240,3726,66.7,51,84,3,14.3,
19,Chemaitelly et. al. 2021a,2021,October,Qatar,Eastern Mediterranean ,Case-Control Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,NEJM,30ug doses,effectiveness,Non-RCT,30,1,78,77.1,78.8,78,77.1,78.8,77.8,76.7,78.9,71.1,64.8,76.3,96.9,94.8,98.2,92.6,85.5,96.3,71.7,69.5,73.7,81.6,80.3,82.8,95.2,92.7,96.9,95.2,92.7,96.9,99.1,93.8,99.9,95.4,85.3,98.5,2,7,12901,218925,231826,5.6,68.7,,,31,
20,Chemaitelly et. al. 2021a,2021,October,Qatar,Eastern Mediterranean ,Case-Control Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,NEJM,30ug doses,effectiveness,Non-RCT,60,2,71.4,69.9,72.8,71.4,69.9,72.8,73.4,71.4,75.2,71.9,65.4,77.2,97,93.1,98.6,96.5,90.4,98.7,61.7,57.5,65.5,71.4,69.1,73.6,97.1,93.9,98.6,97.1,93.9,98.6,95.5,85.5,98.6,95.2,80.3,98.8,2,7,5754,220894,226648,2.5,68.7,,,31,
21,Chemaitelly et. al. 2021a,2021,October,Qatar,Eastern Mediterranean ,Case-Control Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,NEJM,30ug doses,effectiveness,Non-RCT,90,3,64.3,61.9,66.7,64.3,61.9,66.7,69.9,66.8,72.8,67.4,57.4,75.1,97,90.6,99.1,90.4,79.2,95.6,41.4,33.3,48.5,66.1,62.5,69.3,94.9,89,97.6,94.9,89,97.6,92.1,74.4,97.6,95.7,67.8,99.4,2,7,2928,221448,224376,1.3,68.8,,,31,
22,Chemaitelly et. al. 2021a,2021,October,Qatar,Eastern Mediterranean ,Case-Control Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,NEJM,30ug doses,effectiveness,Non-RCT,120,4,41.3,36,46.1,41.3,36,46.1,51.6,44.5,57.7,53.3,26.9,70.2,88.5,61.9,96.5,78.3,42.8,91.7,10.6,-7.1,25.4,43.5,36,50.1,82.1,59.9,92,82.1,59.9,92,90,21.9,98.7,0,-609.9,85.9,2,7,1348,221776,223124,0.6,68.9,,,31,
23,Chemaitelly et. al. 2021a,2021,October,Qatar,Eastern Mediterranean ,Case-Control Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,NEJM,30ug doses,effectiveness,Non-RCT,150,5,-11.4,-21.1,-2.5,-11.4,-21.1,-2.5,18.4,5.7,29.4,79.3,50.2,91.4,100,,,100,,,-12.2,-36.2,7.5,-26.9,-42.6,-13,100,,,100,,,100,,,100,,,2,7,1194,221884,223078,0.5,68.9,,,31,
24,Chemaitelly et. al. 2021a,2021,October,Qatar,Eastern Mediterranean ,Case-Control Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,NEJM,30ug doses,effectiveness,Non-RCT,180,6,-20.6,-32.5,-9.8,-20.6,-32.5,-9.8,17.4,1.9,30.5,15.4,-88.8,62.1,93.3,49.5,99.1,66.7,-220.5,96.5,20,2.1,34.7,-65.5,-90.3,-44,81.8,47.2,93.7,81.8,47.2,93.7,83.3,-38.4,98,,,,2,7,972,221962,222934,0.4,68.9,,,31,
25,Chemaitelly et. al. 2021a,2021,October,Qatar,Eastern Mediterranean ,Case-Control Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,NEJM,30ug doses,effectiveness,Non-RCT,210,7,-43.6,-68.3,-22.1,-43.6,-68.3,-22.1,24.5,-0.9,43.5,6.6,-93.4,54.9,57.1,-65.7,88.9,50,-451.4,95.5,-83.2,-155.1,-31.6,-37.7,-73.1,-9.6,,,,,,,,,,,,,2,7,297,221857,222154,0.1,69,,,31,
26,Sahly et. al. 2021,2021,September,US,North America,Randomized Control Trial,mRNA-1273,Tested,Other Definitions,Other,Other definition,mRNA,NEJM,100ug doses,efficacy,RCT,7,1,89.9,80.4,93.1,95.9,74.7,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,15209,15206,30415,50,52.6,79.2,10.2,51.4,
27,Sahly et. al. 2021,2021,September,US,North America,Randomized Control Trial,mRNA-1273,Tested,Other Definitions,Other,Other definition,mRNA,NEJM,100ug doses,efficacy,RCT,14,1,,,,82,79.5,84.2,,,,,,,,,,,,,62.3,55.7,67.8,92.8,90.6,94.5,98.2,92.8,99.6,98.2,92.8,99.6,,,,100,,100,2,4,15209,15206,30415,50,52.6,79.2,10.2,51.4,
28,Sahly et. al. 2021,2021,September,US,North America,Randomized Control Trial,mRNA-1273,Tested,Other Definitions,Other,Other definition,mRNA,NEJM,100ug doses,efficacy,RCT,37,1,,,,91.8,86.9,95.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,15209,15206,30415,50,52.6,79.2,10.2,51.4,
29,Sahly et. al. 2021,2021,September,US,North America,Randomized Control Trial,mRNA-1273,Tested,Other Definitions,Other,Other definition,mRNA,NEJM,100ug doses,efficacy,RCT,148,5,,,,,,,91.5,83.2,95.7,93.4,91.1,95.1,,,,,,,,,,,,,,,,,,,,,,,,,2,4,15209,15206,30415,50,52.6,79.2,10.2,51.4,
30,Sahly et. al. 2021,2021,September,US,North America,Randomized Control Trial,mRNA-1273,Tested,Other Definitions,Other,Other definition,mRNA,NEJM,100ug doses,efficacy,RCT,90,3,94,91.2,96.1,94,91.2,96.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,15209,15206,30415,50,52.6,79.2,10.2,51.4,
31,Sahly et. al. 2021,2021,September,US,North America,Randomized Control Trial,mRNA-1273,Tested,Other Definitions,Other,Other definition,mRNA,NEJM,100ug doses,efficacy,RCT,120,4,92.4,84.3,96.8,92.4,84.3,96.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,15209,15206,30415,50,52.6,79.2,10.2,51.4,
32,Chemaitelly et. al. 2021b,2021,July,Qatar,Eastern Mediterranean ,Case-Control Study,mRNA-1273,Not excluded,Hospitalization,WHO,Hospitalization,mRNA,Nature Medicine,100ug doses,effectiveness,Non-RCT,3,1,96.1,93.4,97.7,96.1,93.4,97.7,,,,,,,,,,,,,,,,,,,96.51,81.5,111.56,100,93.9,100,,,,,,,2,0.8,52442,52442,104884,50,46.8,,,43,
33,Chemaitelly et. al. 2021b,2021,July,Qatar,Eastern Mediterranean ,Case-Control Study,mRNA-1273,Not excluded,Hospitalization,WHO,Hospitalization,mRNA,Nature Medicine,100ug doses,effectiveness,Non-RCT,10,1,,,,97.8,94.8,98.95,,,,,,,,,,,,,,,,,,,,,,100,86.9,100,,,,,,,2,0.8,52442,52442,104884,51,46.8,,,43,
34,Chemaitelly et. al. 2021b,2021,July,Qatar,Eastern Mediterranean ,Case-Control Study,mRNA-1273,Not excluded,Hospitalization,WHO,Hospitalization,mRNA,Nature Medicine,100ug doses,effectiveness,Non-RCT,14,1,,,,98,90.9,100,,,,,,,,,,,,,92.5,84.8,96.9,98.6,92,100,,,,89.5,18.8,98.7,,,,,,,2,0.8,52442,52442,104884,51,46.8,,,43,
36,"Self et al, 2021",2021,Sept ,US,North America,Case-Control Study,Ad26.COV2.S,Not excluded,Hospitalization,WHO,Hospitalization,adenovirus,MMWR,5_10^10 viral particles,effectiveness,Non-RCT,57,4,,,,,,,,,,,,,,,,,,,,,,,,,68,49,80,68,49,80,,,,,,,1,120,113,1463,1576,7.7,59.3,51.3,23,61,46.9
37,"Hall et all, 2021",2021,May,UK,Europe,Prospective Multicenter Cohort Study,BNT162b2,Tested,,,,mRNA,Lancet,30ug doses,effectiveness,Non-RCT,1.5,1,76.92,45.5,108.37,88.49281,17.89663,98.38721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,396318,710587,1106905,35.8,16,88,2,46.1,
38,"Hall et all, 2021",2021,May,UK,Europe,Prospective Multicenter Cohort Study,BNT162b2,Tested,,,,mRNA,Lancet,30ug doses,effectiveness,Non-RCT,5,1,,,,47.32891,-28.1456,78.35085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,396318,710587,1106905,35.8,16,88,2,46.1,
39,"Hall et all, 2021",2021,May,UK,Europe,Prospective Multicenter Cohort Study,BNT162b2,Tested,,,,mRNA,Lancet,30ug doses,effectiveness,Non-RCT,10,1,,,,85.44001,54.32424,95.35874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,396318,710587,1106905,35.8,16,88,2,46.1,
40,"Hall et all, 2021",2021,May,UK,Europe,Prospective Multicenter Cohort Study,BNT162b2,Tested,,,,mRNA,Lancet,30ug doses,effectiveness,Non-RCT,26.5,1,,,,86.40269,66.50169,94.48072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,396318,710587,1106905,35.8,16,88,2,46.1,
41,"Tenforde et al, 2021",2021,November,US,North America,Case-Control Study,BNT162b2,Tested,Hospitalization,WHO,Hospitalization,mRNA,JAMA,30ug doses,effectiveness,Non-RCT,67,2,,,,,,,,,,,,,90,86,94,91,86,94,,,,,,,85,82,88,85,82,88,,,,,,,2,,226,1669,1895,11.9,51.2,,,59,
42,"Tenforde et al, 2021",2021,November,US,North America,Case-Control Study,BNT162b2,Not excluded,Hospitalization,WHO,Hospitalization,mRNA,JAMA,30ug doses,effectiveness,Non-RCT,120,4,,,,,,,,,,,,,79,60,89,75,60,85,,,,,,,64,51,73,64,51,73,,,,,,,2,,226,1669,1895,11.9,51.2,,,59,
43,"Tenforde et al, 2021",2021,November,US,North America,Case-Control Study,mRNA-1273,Not excluded,Hospitalization,WHO,Hospitalization,mRNA,JAMA,100ug doses,effectiveness,Non-RCT,67,2,,,,,,,,,,,,,95,92,97,91,86,95,,,,,,,91,87,93,91,87,93,,,,,,,2,,88,1669,1757,5,51.2,,,59,
44,"Tenforde et al, 2021",2021,November,US,North America,Case-Control Study,mRNA-1273,Not excluded,Hospitalization,WHO,Hospitalization,mRNA,JAMA,100ug doses,effectiveness,Non-RCT,120,4,,,,,,,,,,,,,96,88,99,87,73,93,,,,,,,85,77,91,85,77,91,,,,,,,2,,88,1669,1757,5,51.2,,,59,
45,"Corchado-Garcia et al, 2021",2021,November,US,North America,Cohort Study,Ad26.COV2.S,Not excluded,,WHO,Hospitalization,adenovirus,JAMA Network Open,5_10^10 viral particles,effectiveness,Non-RCT,1,1,73.57,71.95,75.18,73.6,65.9,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,8698,86495,95193,9.1,50.3,89.5,2.9,52,
46,"Corchado-Garcia et al, 2021",2021,November,US,North America,Cohort Study,Ad26.COV2.S,Not excluded,,WHO,Hospitalization,adenovirus,JAMA Network Open,5_10^10 viral particles,effectiveness,Non-RCT,8,1,,,,72.9,64.2,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,8698,86495,95193,9.1,50.3,89.5,2.9,52,
47,"Corchado-Garcia et al, 2021",2021,November,US,North America,Cohort Study,Ad26.COV2.S,Not excluded,,WHO,Hospitalization,adenovirus,JAMA Network Open,5_10^10 viral particles,effectiveness,Non-RCT,111,1,,,,74.2,64.9,81.6,,,,,,,,,,,,,,,,,,,68,34,82,68,34,82,100,-0.43,100,17,-4.2,74,1,,8698,86495,95193,9.1,50.3,89.5,2.9,52,
49,"Dagan et al, 2021a",2021,April,Israel,Europe,Prospective cohort study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,NEJM,30ug doses,effectiveness,Non-RCT,7,1,92,88,95,92,88,95,95,87,100,92,84.5,96,,,,,,,90,83,94,92,88,95,94,87,98,94,87,98,92,75,100,,,,2,25,596618,596618,1193236,50,50,,,45,19.2
50,"Sadoff et al, 2021",2021,July,US,North America,Randomized Control Trial,Ad26.COV2.S,Tested,Hospitalization,Other,Other definition,adenovirus,NEJM,5_10^10 viral particles,efficacy,RCT,14,1,66.9,59.1,73.4,66.9,59.1,73.4,76.3,61.6,86,63.7,53.9,71.6,65.8,56.2,73.1,69.3,57.4,77.7,,,,,,,76.7,54.6,89.1,76.7,54.6,89.1,,,,,,,1,,21895,21888,43783,50,54.9,58.7,19.4,52,28.5
51,"Sadoff et al, 2021",2021,July,US,North America,Randomized Control Trial,Ad26.COV2.S,Tested,Hospitalization,Other,Other definition,adenovirus,NEJM,5_10^10 viral particles,efficacy,RCT,58,2,66.5,55.5,75.1,66.5,55.5,75.1,66.2,36.7,83,66.1,53.3,75.8,74.5,57.9,84.3,67.9,38.2,82.8,,,,,,,84.4,54.2,96.9,84.4,54.2,96.9,,,,,,,1,,21895,21888,43783,50,54.9,58.7,19.4,52,28.5
52,"Sadoff et al, 2021",2021,July,US,North America,Randomized Control Trial,Ad26.COV2.S,Tested,Hospitalization,Other,Other definition,adenovirus,NEJM,5_10^10 viral particles,efficacy,RCT,71,,,,,,,,,,,,,,,,,,,,65.5,39.9,81.1,,,,,,,,,,,,,,,,1,,21895,21888,43783,50,54.9,58.7,19.4,52,28.5
53,"Paris et al, 2021",2021,July,France,Europe,Cohort Study,mRNA-1273,Not excluded,,,,mRNA,Clinical Microbiology and Infection,100ug doses,effectiveness,Non-RCT,14,1,94.6,61,99.2,94.6,61,99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,885,3573,4458,19.9,,37.3,,,
54,"Paris et al, 2021",2021,August,France,Europe,Cohort Study,BNT162b2,Not excluded,,,,mRNA,Clinical Microbiology and Infection,30ug doses,effectiveness,Non-RCT,14,1,100,100,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1157,3573,4730,24.5,,37.3,,,
55,"Chin et al, 2021",2021,October,US,North America,Cohort Study,mRNA-1273,History of infection,,,,mRNA,NEJM,100ug doses,effectiveness,Non-RCT,14,1,49.5,31.5,62.7,49.5,31.5,62.7,,,,,,,,,,,,,,,,84.2,56.4,94.3,,,,,,,,,,,,,2,,291,241,532,54.6,,23,30,,
56,"Dagan et al, 2021b",2021,September,Israel,Europe,Cohort,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,Nature Medicine,30ug doses,effectiveness,Non-RCT,31.5,1,96,89,100,96,89,100,,,,,,,,,,,,,96,89,100,97,91,100,89,43,100,89,43,100,,,,0,0,0,2,1,10861,10861,21722,50,0,,,30,1148
57,Bernal et al 2021,2021,May,UK,Europe,Case-Control Study,BNT162b2,History of infection,Hospitalization,,,mRNA,BMJ,30ug doses,effectiveness,Non-RCT,1.5,1,,,,,,,41,17,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,12872,11758,24630,52.26146975,44.5,86.8,0.5,,
58,Bernal et al 2021,2021,May,UK,Europe,Case-Control Study,BNT162b2,History of infection,Hospitalization,,,mRNA,BMJ,30ug doses,effectiveness,Non-RCT,5,1,,,,,,,43,12,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,12872,11758,24630,52.26146975,44.5,86.8,0.5,,
59,Bernal et al 2021,2021,May,UK,Europe,Case-Control Study,BNT162b2,History of infection,Hospitalization,,,mRNA,BMJ,30ug doses,effectiveness,Non-RCT,10,1,,,,,,,79,68,86,,,,,,,,,,,,,,,,32,-120.47,184.47,20,-11,14,,,,26,10,38,2,1,12872,11758,24630,52.26146975,44.5,86.8,0.5,,
60,Bernal et al 2021,2021,May,UK,Europe,Case-Control Study,BNT162b2,History of infection,Hospitalization,,,mRNA,BMJ,30ug doses,effectiveness,Non-RCT,14,1,,,,,,,85,79,89,,,,,,,,,,,,,,,,,,,44,33,53,,,,51,37,62,2,1,12872,11758,24630,52.26146975,44.5,86.8,0.5,,
61,Frenck et al 2021,2021,July,US,North America,Randomized Control Trial,BNT162b2,Tested,Other Definitions,FDA,Hospitalization,mRNA,NEJM,30ug dises,efficacy,RCT,14,1,100,75.3,100,100,75.3,100,,,,,,,,,,,,,,,,100,75.3,100,,,,,,,,,,,,,2,4,1131,1129,2260,50,50,85.9,8.9,13.6,
